tr1,39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
tr6739,21, Private, 212661, 10th, 6, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 39, United-States, <=50K
tr6740,37, Private, 32709, Bachelors, 13, Married-civ-spouse, Tech-support, Wife, White, Female, 0, 0, 40, United-States, >50K
tr6741,42, Federal-gov, 46366, HS-grad, 9, Separated, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
tr6742,37, Self-emp-not-inc, 24106, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 30, United-States, <=50K
tr6743,46, Private, 170850, Bachelors, 13, Divorced, Machine-op-inspct, Not-in-family, White, Male, 0, 1590, 40, ?, <=50K
tr6744,45, Self-emp-not-inc, 40666, Assoc-voc, 11, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 60, United-States, <=50K
tr6745,32, Private, 182975, Some-college, 10, Never-married, Tech-support, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K
tr6746,30, Private, 345122, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, <=50K
tr6747,57, ?, 208311, Bachelors, 13, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 80, United-States, >50K
tr6748,37, Private, 120045, HS-grad, 9, Divorced, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 56, United-States, <=50K
tr6749,18, ?, 201299, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 40, United-States, <=50K
tr6750,32, Private, 152940, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
tr6751,43, Private, 243580, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
tr6752,46, Private, 182128, Masters, 14, Divorced, Prof-specialty, Unmarried, White, Female, 6497, 0, 50, United-States, <=50K
tr6753,36, ?, 176458, HS-grad, 9, Divorced, ?, Unmarried, White, Female, 0, 0, 28, United-States, <=50K
tr6754,33, Private, 101562, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
tr6755,48, Private, 108699, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
tr6756,34, Private, 175878, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Female, 0, 0, 40, United-States, <=50K
tr6757,34, Local-gov, 177675, Some-college, 10, Never-married, Protective-serv, Not-in-family, White, Male, 0, 0, 50, United-States, >50K
tr6758,33, Private, 213887, HS-grad, 9, Divorced, Farming-fishing, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
tr6759,23, Private, 435835, HS-grad, 9, Never-married, Sales, Not-in-family, White, Male, 0, 1669, 55, United-States, <=50K
tr6760,39, Private, 165799, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
tr6761,22, Private, 71469, Assoc-acdm, 12, Never-married, Sales, Own-child, White, Female, 0, 0, 25, United-States, <=50K
tr6762,19, Private, 229745, HS-grad, 9, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 20, United-States, <=50K
tr6763,47, Private, 284916, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 7298, 0, 45, United-States, >50K
tr6764,46, Private, 28419, Assoc-voc, 11, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
tr6765,47, Private, 26950, Masters, 14, Divorced, Sales, Not-in-family, White, Female, 0, 0, 6, United-States, <=50K
tr6766,47, Self-emp-not-inc, 107231, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 35, United-States, >50K
tr6767,52, Local-gov, 512103, Some-college, 10, Divorced, Transport-moving, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
tr6768,38, Self-emp-not-inc, 245090, 9th, 5, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, Mexico, <=50K
tr6769,58, Private, 314153, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
tr6770,32, Private, 243988, 5th-6th, 3, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, Mexico, <=50K
tr6771,54, Self-emp-not-inc, 82551, Assoc-voc, 11, Married-civ-spouse, Tech-support, Other-relative, White, Female, 0, 0, 10, United-States, <=50K
tr6772,25, Private, 235795, Assoc-acdm, 12, Never-married, Sales, Not-in-family, White, Male, 0, 0, 48, United-States, <=50K
tr6773,25, Self-emp-not-inc, 108001, 9th, 5, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 15, United-States, <=50K
tr6774,36, State-gov, 112497, Bachelors, 13, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 1876, 44, United-States, <=50K
tr6775,69, Self-emp-not-inc, 128206, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 30, United-States, <=50K
tr6776,28, Private, 224634, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 45, United-States, >50K
tr6777,20, Private, 362999, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 20, United-States, <=50K
tr6778,21, Private, 346693, 7th-8th, 4, Never-married, Farming-fishing, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
tr6779,37, Private, 175759, Bachelors, 13, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, >50K
tr6780,25, ?, 219987, Assoc-acdm, 12, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 13, United-States, <=50K
tr6781,39, Private, 143445, HS-grad, 9, Married-civ-spouse, Other-service, Other-relative, Black, Female, 0, 0, 40, United-States, <=50K
tr6782,34, Private, 118710, Assoc-voc, 11, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, >50K
tr6783,47, Private, 118972, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, >50K
tr6784,29, Private, 165360, Assoc-voc, 11, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
tr6785,48, Private, 38950, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 89, United-States, <=50K
tr6786,42, Self-emp-inc, 277256, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1977, 60, United-States, >50K
tr6787,29, Private, 247151, 11th, 7, Divorced, Machine-op-inspct, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
tr6788,34, Private, 213722, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, <=50K
tr6789,20, Private, 209955, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 25, United-States, <=50K
tr6790,41, Private, 174395, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
tr6791,22, ?, 179973, Assoc-voc, 11, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States, <=50K
tr6792,23, Private, 200207, HS-grad, 9, Divorced, Handlers-cleaners, Own-child, White, Male, 0, 0, 44, United-States, <=50K
tr6793,19, Private, 156587, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 38, United-States, <=50K
tr6794,24, Private, 33016, Some-college, 10, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
tr6795,20, Private, 197496, Some-college, 10, Never-married, Sales, Own-child, White, Male, 0, 0, 30, ?, <=50K
tr6796,32, Private, 153588, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
tr6797,52, Private, 99736, Masters, 14, Divorced, Prof-specialty, Unmarried, White, Male, 15020, 0, 50, United-States, >50K
tr6798,36, Private, 284166, HS-grad, 9, Never-married, Sales, Unmarried, White, Male, 0, 0, 60, United-States, >50K
tr6799,18, Private, 716066, 10th, 6, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 30, United-States, <=50K
tr6800,27, Private, 188519, HS-grad, 9, Divorced, Sales, Own-child, White, Female, 0, 0, 40, United-States, <=50K
tr6801,26, Private, 109080, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, <=50K
tr6802,52, Private, 174421, Assoc-acdm, 12, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 32, United-States, <=50K
tr6803,24, Private, 259351, Some-college, 10, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male, 0, 0, 40, Mexico, <=50K
tr6804,42, Federal-gov, 284403, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
tr6805,39, Private, 85319, Prof-school, 15, Married-civ-spouse, Prof-specialty, Wife, White, Female, 7688, 0, 60, United-States, >50K
tr6806,20, ?, 201766, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 35, United-States, <=50K
tr6807,20, State-gov, 340475, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 10, United-States, <=50K
tr6808,39, Private, 487486, HS-grad, 9, Widowed, Handlers-cleaners, Unmarried, White, Male, 0, 0, 40, ?, <=50K
tr6809,68, ?, 484298, 11th, 7, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 30, United-States, <=50K
tr6810,35, Private, 170617, HS-grad, 9, Never-married, Machine-op-inspct, Unmarried, Black, Female, 0, 0, 48, United-States, <=50K
tr6811,54, Private, 94055, Bachelors, 13, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
tr6812,24, Private, 117779, Bachelors, 13, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 40, United-States, <=50K
tr6813,24, Private, 209770, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 8, United-States, <=50K
tr6814,20, Private, 317443, Some-college, 10, Never-married, Adm-clerical, Own-child, Black, Female, 0, 0, 15, United-States, <=50K
tr6815,64, ?, 140237, Preschool, 1, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, <=50K
tr6816,28, Private, 107411, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
tr6817,36, Self-emp-not-inc, 122493, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 47, United-States, <=50K
tr6818,44, Self-emp-inc, 195124, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 60, ?, <=50K
tr6819,38, Private, 101978, Some-college, 10, Separated, Machine-op-inspct, Not-in-family, White, Male, 0, 2258, 55, United-States, >50K
tr6820,22, Private, 335453, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 60, United-States, <=50K
tr6821,56, Private, 318329, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
tr6822,24, Private, 100321, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, <=50K
tr6823,24, Self-emp-not-inc, 81145, Some-college, 10, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 75, United-States, <=50K
tr6824,22, Private, 62865, Assoc-acdm, 12, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
tr6825,21, Private, 176262, Some-college, 10, Never-married, Exec-managerial, Own-child, White, Female, 0, 0, 30, United-States, <=50K
tr6826,42, Private, 168103, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
tr6827,41, Local-gov, 208174, Masters, 14, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 55, United-States, <=50K
tr6828,19, Private, 188815, HS-grad, 9, Never-married, Other-service, Own-child, White, Female, 34095, 0, 20, United-States, <=50K
tr6829,67, Self-emp-not-inc, 226092, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 44, United-States, <=50K
tr6830,20, Private, 212668, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 30, United-States, <=50K
tr6831,32, Private, 381583, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, Other, Male, 0, 0, 40, United-States, <=50K
tr6832,46, Private, 239439, HS-grad, 9, Separated, Machine-op-inspct, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
tr6833,52, Private, 172493, HS-grad, 9, Never-married, Sales, Not-in-family, White, Female, 0, 0, 36, United-States, <=50K
tr6834,65, ?, 221881, 11th, 7, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, Mexico, <=50K
tr6835,37, Local-gov, 218184, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1887, 40, United-States, >50K
tr6836,27, Self-emp-not-inc, 206889, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 50, United-States, <=50K
tr6837,30, Private, 211028, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
tr6838,64, Local-gov, 202984, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 3137, 0, 40, United-States, <=50K
tr6839,48, Private, 20296, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 37, United-States, >50K
tr6840,35, Private, 194690, 7th-8th, 4, Divorced, Tech-support, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
tr6841,28, Self-emp-not-inc, 204984, Bachelors, 13, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
tr6842,63, Self-emp-not-inc, 35021, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 1977, 32, China, >50K
tr6843,40, Self-emp-not-inc, 238574, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, >50K
tr6844,33, Private, 345360, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
tr6845,40, Private, 192381, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, >50K
tr6846,25, Private, 479765, 7th-8th, 4, Never-married, Sales, Other-relative, White, Male, 0, 0, 45, Guatemala, <=50K
tr6847,45, Self-emp-inc, 34091, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 38, United-States, >50K
tr6848,30, Private, 151773, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, >50K
tr6849,53, Private, 299080, Some-college, 10, Never-married, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
tr6850,63, Private, 135339, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male, 2105, 0, 40, Vietnam, <=50K
tr6851,27, Local-gov, 52156, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 60, United-States, <=50K
tr6852,31, Private, 318647, 11th, 7, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
tr6853,33, Private, 80145, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 60, United-States, <=50K
tr6854,39, State-gov, 343646, Bachelors, 13, Divorced, Protective-serv, Not-in-family, White, Male, 0, 0, 40, Mexico, >50K
tr6855,42, Self-emp-not-inc, 198692, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, >50K
tr6856,19, Private, 266635, HS-grad, 9, Never-married, Other-service, Own-child, Black, Male, 0, 0, 30, United-States, <=50K
tr6857,31, Private, 197672, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
tr6858,53, Private, 185846, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
tr6859,47, Self-emp-not-inc, 315110, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 20, United-States, <=50K
tr6860,27, Private, 220754, Doctorate, 16, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
tr6861,22, Private, 64292, HS-grad, 9, Never-married, Tech-support, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
tr6862,29, Private, 126060, HS-grad, 9, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 40, United-States, >50K
tr6863,52, Private, 78012, HS-grad, 9, Widowed, Sales, Unmarried, White, Female, 0, 1762, 40, United-States, <=50K
tr6864,32, Private, 210562, Assoc-voc, 11, Divorced, Craft-repair, Own-child, White, Male, 0, 0, 46, United-States, <=50K
tr6865,23, Private, 350181, HS-grad, 9, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
tr6866,27, Private, 233421, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 20, United-States, <=50K
tr6867,53, Private, 167170, HS-grad, 9, Widowed, Machine-op-inspct, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K
tr6868,18, Private, 260801, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 20, United-States, <=50K
tr6869,41, Private, 173370, Bachelors, 13, Separated, Sales, Unmarried, White, Female, 0, 0, 30, United-States, <=50K
tr6870,27, Private, 135520, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 0, 0, 40, Dominican-Republic, <=50K
tr6871,30, Private, 121308, Some-college, 10, Divorced, Sales, Own-child, White, Male, 0, 0, 40, United-States, <=50K
tr6872,41, Private, 444743, HS-grad, 9, Divorced, Tech-support, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
tr6873,21, Private, 65225, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K
tr6874,58, State-gov, 136982, HS-grad, 9, Married-spouse-absent, Other-service, Unmarried, Black, Female, 0, 0, 40, Honduras, <=50K
tr6875,45, State-gov, 271962, Bachelors, 13, Divorced, Protective-serv, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
tr6876,40, Private, 204046, 10th, 6, Divorced, Transport-moving, Own-child, White, Male, 0, 0, 40, United-States, <=50K
tr6877,21, Private, 225823, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
tr6878,29, Private, 183009, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, Other, Female, 0, 1590, 40, United-States, <=50K
tr6879,50, Private, 121038, Assoc-voc, 11, Married-civ-spouse, Other-service, Wife, Black, Female, 0, 0, 40, United-States, <=50K
tr6880,26, Private, 49092, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
tr6881,23, Private, 148709, HS-grad, 9, Separated, Handlers-cleaners, Other-relative, White, Female, 0, 0, 40, United-States, <=50K
tr6882,27, Private, 209205, Bachelors, 13, Never-married, Tech-support, Own-child, White, Male, 0, 0, 40, United-States, <=50K
tr6883,36, Local-gov, 285865, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K
tr6884,22, Federal-gov, 216129, HS-grad, 9, Never-married, Adm-clerical, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
tr6885,37, Federal-gov, 40955, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, Japan, <=50K
tr6886,54, Private, 197189, Bachelors, 13, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
tr6887,36, Private, 33001, HS-grad, 9, Divorced, Farming-fishing, Unmarried, White, Male, 0, 0, 50, United-States, <=50K
tr6888,44, Private, 227399, Assoc-voc, 11, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 0, 40, United-States, <=50K
tr6889,38, Private, 164050, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, Black, Male, 0, 0, 40, United-States, >50K
tr6890,49, Private, 259087, Some-college, 10, Divorced, Craft-repair, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
tr6891,18, Private, 236262, 11th, 7, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 12, United-States, <=50K
tr6892,26, Private, 177929, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 48, United-States, <=50K
tr6893,48, Private, 166929, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 45, ?, >50K
tr6894,32, Private, 199963, 11th, 7, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 0, 0, 40, United-States, <=50K
tr6895,35, State-gov, 98776, HS-grad, 9, Never-married, Tech-support, Own-child, White, Male, 0, 0, 40, United-States, <=50K
tr6896,40, Self-emp-not-inc, 55363, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 3411, 0, 40, United-States, <=50K
tr6897,42, State-gov, 102343, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 72, India, >50K
tr6898,30, Private, 231263, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
tr6899,19, Private, 226913, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 20, United-States, <=50K
tr6900,36, Private, 129573, Assoc-acdm, 12, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, >50K
tr6901,50, Federal-gov, 69345, Assoc-acdm, 12, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, <=50K
tr6902,38, Private, 204556, HS-grad, 9, Divorced, Craft-repair, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
tr6903,35, Private, 192626, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
tr6904,45, Private, 202812, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
tr6905,29, Private, 405177, 10th, 6, Separated, Sales, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
tr6906,41, Private, 227890, Some-college, 10, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 46, United-States, >50K
tr6907,33, Private, 101352, Prof-school, 15, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 50, United-States, >50K
tr6908,49, Private, 82572, Some-college, 10, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 60, United-States, <=50K
tr6909,28, Private, 132686, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
tr6910,49, Local-gov, 149210, Bachelors, 13, Married-civ-spouse, Protective-serv, Husband, Black, Male, 15024, 0, 40, United-States, >50K
tr6911,27, Private, 245661, HS-grad, 9, Separated, Machine-op-inspct, Own-child, White, Female, 0, 0, 40, United-States, <=50K
tr6912,42, State-gov, 104663, Doctorate, 16, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, Italy, >50K
tr6913,30, Private, 347166, HS-grad, 9, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K
tr6914,37, Local-gov, 108540, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
tr6915,37, Private, 333305, Doctorate, 16, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 35, United-States, <=50K
tr6916,51, Private, 155408, HS-grad, 9, Married-spouse-absent, Sales, Not-in-family, Black, Female, 0, 0, 38, United-States, <=50K
tr6917,27, Federal-gov, 246372, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
tr6918,53, Private, 30290, HS-grad, 9, Never-married, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
tr6919,45, Private, 347321, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
tr6920,37, Self-emp-inc, 205852, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, <=50K
tr6921,54, State-gov, 93449, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 40, India, >50K
tr6922,47, Self-emp-inc, 116927, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 42, United-States, >50K
tr6923,35, Private, 164526, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, Yugoslavia, >50K
tr6924,33, Private, 31573, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
tr6925,28, Local-gov, 125159, Some-college, 10, Never-married, Adm-clerical, Other-relative, Black, Male, 0, 0, 40, Haiti, <=50K
tr6926,25, ?, 122745, HS-grad, 9, Never-married, ?, Own-child, White, Male, 0, 1602, 40, United-States, <=50K
tr6927,33, Private, 150570, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
tr6928,34, Private, 118941, 11th, 7, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 40, Ireland, <=50K
tr6929,53, Private, 141388, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, >50K
tr6930,21, Private, 174714, Assoc-acdm, 12, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 35, United-States, <=50K
tr6931,31, State-gov, 75755, Doctorate, 16, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7298, 0, 55, United-States, >50K
tr6932,63, Private, 133144, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, <=50K
tr6933,21, Self-emp-not-inc, 318865, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 30, United-States, <=50K
tr6934,59, Private, 109638, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
tr6935,50, Private, 92969, 1st-4th, 2, Separated, Prof-specialty, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
tr6936,66, ?, 376028, HS-grad, 9, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 20, United-States, <=50K
tr6937,19, Private, 144161, HS-grad, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 30, United-States, <=50K
tr6938,31, Private, 183778, Bachelors, 13, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
tr6939,45, Private, 170846, Assoc-voc, 11, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, >50K
tr6940,35, Local-gov, 204277, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
tr6941,32, Private, 205152, Bachelors, 13, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
tr6942,20, Private, 225395, 7th-8th, 4, Never-married, Machine-op-inspct, Other-relative, White, Female, 0, 0, 60, Mexico, <=50K
tr6943,38, Private, 33975, HS-grad, 9, Married-civ-spouse, Exec-managerial, Other-relative, White, Male, 0, 0, 40, United-States, >50K
tr6944,49, Private, 147032, HS-grad, 9, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female, 0, 0, 8, Philippines, <=50K
tr6945,64, Private, 174826, HS-grad, 9, Divorced, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
tr6946,60, Local-gov, 232769, 11th, 7, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 20, United-States, <=50K
tr6947,25, Private, 36984, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K
